Mass/Charge	Intensity
50	0
50.12	0
50.24	0
50.36	0
50.48	0
50.6	0
50.72	0
50.84	0
50.96	0
51.08	0
51.2	0
51.32	0
51.44	0
51.56	0
51.68	0
51.8	0
51.92	0
52.04	0
52.16	0
52.28	0
52.44	11904.7618012816
52.56	0
52.68	0
52.8	23809.5236025632
52.92	35714.2854038449
53.04	95238.094410253
53.16	47619.0472051265
53.28	0
53.4	0
53.52	0
53.64	0
53.76	0
53.88	11904.7618012816
54	0
54.12	0
54.24	0
54.36	0
54.48	0
54.6	0
54.72	0
54.84	0
54.96	0
55.08	0
55.2	0
55.32	0
55.44	0
55.56	0
55.68	0
55.8	0
55.92	0
56.04	0
56.16	0
56.28	0
56.3999999999999	0
56.5199999999999	0
56.6399999999999	0
56.7599999999999	0
56.8799999999999	0
56.9999999999999	0
57.1199999999999	0
57.2399999999999	0
57.3599999999999	0
57.4799999999999	0
57.5999999999999	0
57.7199999999999	0
57.8399999999999	0
57.9599999999999	0
58.0799999999999	0
58.1999999999999	0
58.3199999999999	0
58.4399999999999	0
58.5599999999999	0
58.6799999999999	0
58.7999999999999	0
58.9199999999999	0
59.0399999999999	0
59.1599999999999	0
59.2799999999999	0
59.3999999999999	0
59.5199999999999	0
59.6399999999999	0
59.7599999999999	0
59.8799999999999	0
59.9999999999999	0
60.1199999999999	0
60.2399999999999	0
60.3599999999999	0
60.4799999999999	0
60.5999999999999	0
60.7199999999999	0
60.8399999999999	0
60.9599999999999	0
61.0799999999998	0
61.1999999999998	0
61.3199999999998	0
61.4399999999998	0
61.5599999999998	0
61.6799999999998	0
61.7999999999998	0
61.92	11904.7618012816
62.04	0
62.16	0
62.28	0
62.4	0
62.52	0
62.64	0
62.76	0
62.88	0
63	0
63.12	0
63.24	0
63.36	0
63.48	0
63.6	0
63.72	0
63.84	0
63.96	0
64.08	0
64.2	0
64.32	0
64.44	0
64.56	0
64.68	0
64.8	0
64.92	0
65.04	0
65.16	0
65.28	0
65.4	0
65.52	0
65.64	0
65.76	0
65.88	0
66	0
66.12	0
66.24	0
66.36	0
66.48	0
66.6000000000001	0
66.7200000000001	0
66.84	11904.7618012816
66.96	11904.7618012816
67.08	83333.3326089714
67.2	0
67.32	11904.7618012816
67.44	23809.5236025632
67.56	0
67.68	0
67.8	0
67.92	0
68.04	0
68.16	0
68.28	0
68.4	0
68.52	0
68.64	0
68.76	0
68.88	11904.7618012816
69	130952.379814098
69.12	35714.2854038449
69.24	71428.5708076897
69.36	11904.7618012816
69.48	0
69.6	0
69.72	0
69.84	0
69.96	0
70.08	0
70.2	0
70.32	0
70.44	0
70.56	0
70.68	0
70.8000000000001	0
70.9200000000001	0
71.0400000000001	0
71.1600000000001	0
71.2800000000001	0
71.4000000000001	0
