Mass/Charge	Intensity
69.7200000000001	0
69.8400000000001	0
69.9600000000001	0
70.0800000000001	0
70.2000000000001	0
70.3200000000001	0
70.4400000000001	0
70.5600000000001	0
70.6800000000001	0
70.8000000000001	0
70.9200000000001	0
71.0400000000001	0
71.1600000000001	0
71.2800000000001	0
71.4000000000001	0
71.5200000000001	0
71.6400000000001	0
71.7600000000001	0
71.88	11904.7618012816
72	0
72.12	0
72.24	0
72.36	0
72.48	0
72.6	0
72.72	0
72.84	0
72.96	0
73.08	0
73.2	0
73.3200000000001	0
73.4400000000001	0
73.5600000000001	0
73.6800000000001	0
73.8000000000001	0
73.9200000000001	0
74.0400000000001	0
74.1600000000001	0
74.2800000000001	0
74.4000000000001	0
74.5200000000001	0
74.6400000000001	0
74.7600000000001	0
74.8800000000001	0
75.0000000000001	0
75.1200000000001	0
75.2400000000001	0
75.3600000000001	0
75.4800000000001	0
75.6000000000001	0
75.7200000000001	0
75.8400000000001	0
75.9600000000002	0
76.0800000000002	0
76.2000000000002	0
76.3200000000002	0
76.4400000000002	0
76.5600000000002	0
76.6800000000002	0
76.8000000000002	0
76.9200000000002	0
77.0400000000002	0
77.1600000000002	0
77.2800000000002	0
77.4000000000002	0
77.5200000000002	0
77.6400000000002	0
77.7600000000002	0
77.8800000000002	0
78.0000000000002	0
78.1200000000002	0
78.24	11904.7618012816
78.36	0
78.48	0
78.6	0
78.72	0
78.84	0
78.96	0
79.08	11904.7618012816
79.2	11904.7618012816
79.32	11904.7618012816
79.44	23809.5236025632
79.56	0
79.68	0
79.8	0
79.92	0
80.04	0
80.16	0
80.28	0
80.4	0
80.52	0
80.64	0
80.76	0
80.8800000000001	0
81	11904.7618012816
81.12	0
81.24	0
81.36	0
81.48	0
81.6	0
81.72	0
81.84	0
81.96	0
82.08	0
82.2	0
82.3200000000001	0
82.4400000000001	0
82.5600000000001	0
82.6800000000001	0
82.8000000000001	0
82.9200000000001	0
83.04	11904.7618012816
83.16	0
83.28	0
83.4	0
83.52	0
83.64	0
83.76	0
83.88	0
84	71428.5708076897
84.12	35714.2854038449
84.24	0
84.36	11904.7618012816
84.48	0
84.6	0
84.72	0
84.84	0
84.96	0
85.08	0
85.2	0
85.32	0
85.44	0
85.56	0
85.68	0
85.8000000000001	0
85.9200000000001	0
86.0400000000001	0
86.1600000000001	0
86.2800000000001	0
86.4000000000001	0
86.5200000000001	0
86.6400000000001	0
86.7600000000001	0
86.8800000000001	0
87.0000000000001	0
87.1200000000001	0
87.2400000000001	0
87.3600000000001	0
87.4800000000001	0
87.6000000000001	0
87.7200000000001	0
87.8400000000001	0
87.9600000000001	0
88.0800000000001	0
88.2000000000001	0
88.3200000000001	0
88.4400000000002	0
88.5600000000002	0
88.6800000000002	0
88.8000000000002	0
88.9200000000002	0
89.0400000000002	0
89.1600000000002	0
89.2800000000002	0
89.4000000000002	0
89.5200000000002	0
89.6400000000002	0
89.7600000000002	0
89.8800000000002	0
90.0000000000002	0
90.1200000000002	0
90.2400000000002	0
90.3600000000002	0
90.4800000000002	0
90.6000000000002	0
90.7200000000002	0
90.8400000000002	0
90.9600000000002	0
91.08	23809.5236025632
91.2	11904.7618012816
91.32	0
91.44	0
91.56	0
91.68	0
91.8	0
91.92	0
92.04	0
92.16	0
92.28	0
92.4	0
92.5200000000001	0
92.6400000000001	0
92.7600000000001	0
92.8800000000001	0
93.0000000000001	0
93.1200000000001	0
93.2400000000001	0
93.3600000000001	0
93.4800000000001	0
93.6000000000001	0
93.7200000000001	0
93.8400000000001	0
93.96	23809.5236025632
94.08	11904.7618012816
94.2	0
94.32	0
94.44	0
94.56	0
94.68	0
94.8	0
94.92	0
95.04	0
95.16	0
95.28	0
95.4	0
95.5200000000001	0
95.6400000000001	0
95.7600000000001	0
95.8800000000001	0
96.0000000000001	0
96.1200000000001	0
96.2400000000001	0
96.3600000000001	0
96.4800000000001	0
96.6000000000001	0
96.7200000000001	0
96.8400000000001	0
96.9600000000001	0
97.0800000000001	0
97.2000000000001	0
97.3200000000001	0
97.4400000000001	0
97.5600000000001	0
97.6800000000001	0
97.8000000000001	0
97.9200000000001	0
98.0400000000001	0
98.1600000000002	0
98.2800000000002	0
98.4000000000002	0
98.5200000000002	0
98.6400000000002	0
98.7600000000002	0
98.8800000000002	0
99.0000000000002	0
99.1200000000002	0
99.2400000000002	0
99.3600000000002	0
99.4800000000002	0
99.6000000000002	0
99.7200000000002	0
99.8400000000002	0
99.9600000000002	0
100.08	0
100.2	0
100.32	0
100.44	0
100.56	0
100.68	0
100.8	0
100.92	0
101.04	0
101.16	0
101.28	0
101.4	0
101.52	0
101.64	0
101.76	0
101.88	0
102	0
102.12	0
102.24	0
102.36	0
102.48	0
102.6	0
102.72	0
102.84	130952.379814098
102.96	166666.665217943
103.08	47619.0472051265
103.2	35714.2854038449
103.32	0
103.44	0
103.56	23809.5236025632
103.68	0
103.8	11904.7618012816
103.92	23809.5236025632
104.04	23809.5236025632
104.16	0
104.28	11904.7618012816
104.4	0
104.52	0
104.64	0
104.76	23809.5236025632
104.88	511904.75745511
105	1380952.36894867
105.12	1547619.03416661
105.24	571428.566461518
105.36	226190.474224351
105.48	107142.856211535
105.6	71428.5708076897
105.72	35714.2854038449
105.84	35714.2854038449
105.96	11904.7618012816
106.08	23809.5236025632
106.2	0
106.32	0
106.44	0
106.56	0
106.68	0
106.8	0
106.92	0
107.04	0
107.16	0
107.28	0
107.4	0
107.52	0
107.64	11904.7618012816
107.76	0
107.88	0
108	0
108.12	0
108.24	0
108.36	0
108.48	0
108.6	0
108.72	0
108.84	0
108.96	0
109.08	0
109.2	11904.7618012816
109.32	0
109.44	0
109.56	0
109.68	0
109.8	0
109.92	0
110.04	0
110.16	0
110.28	0
110.4	0
110.52	0
110.64	0
110.76	0
110.88	0
111	0
111.12	0
111.24	0
111.36	0
111.48	0
111.6	0
111.72	0
111.84	0
111.96	0
112.08	0
112.2	0
112.32	0
112.44	0
112.56	0
112.68	0
112.8	0
112.92	0
113.04	0
113.16	0
113.28	0
113.4	0
113.52	0
113.64	0
113.76	0
113.88	0
114	0
114.12	0
114.24	0
114.36	0
114.48	0
114.6	0
114.72	0
114.84	0
114.96	0
115.08	47619.0472051265
115.2	0
115.32	0
115.44	0
115.56	0
115.68	0
115.8	0
115.92	0
116.04	0
116.16	0
116.28	0
116.4	0
116.52	0
116.64	0
116.76	11904.7618012816
116.88	11904.7618012816
117	95238.094410253
117.12	71428.5708076897
117.24	83333.3326089714
117.36	0
117.48	23809.5236025632
117.6	0
117.72	0
117.84	11904.7618012816
117.96	35714.2854038449
118.08	130952.379814098
118.2	83333.3326089714
118.32	47619.0472051265
118.44	0
118.56	0
118.68	0
118.8	0
118.92	0
119.04	23809.5236025632
119.16	11904.7618012816
119.28	0
119.4	0
119.52	0
119.64	0
119.76	0
119.88	0
120	0
120.12	0
120.24	0
120.36	0
120.48	0
120.6	0
120.72	0
120.84	0
120.96	0
121.08	0
121.2	0
121.32	0
121.44	0
121.56	0
121.68	0
121.8	0
121.92	0
122.04	0
122.16	0
122.28	0
122.4	0
122.52	0
122.64	0
122.76	0
122.88	0
123	0
123.12	0
123.24	47619.0472051265
123.36	0
123.48	0
123.6	0
123.72	0
123.84	0
123.96	0
124.08	0
124.2	0
124.32	0
124.44	0
124.56	0
124.68	0
124.8	0
124.92	0
125.04	0
125.16	0
125.28	0
125.4	0
125.52	0
125.64	0
125.76	0
125.88	0
126	0
126.12	11904.7618012816
126.24	0
126.36	0
126.48	0
126.6	0
126.72	0
126.84	0
126.96	0
127.08	0
127.2	0
127.32	0
127.44	0
127.56	0
127.68	0
127.8	0
127.92	0
128.04	0
128.16	0
128.28	0
128.4	0
128.52	0
128.64	0
128.76	0
128.88	0
129	23809.5236025632
129.12	11904.7618012816
129.24	0
129.36	0
129.48	0
129.6	0
129.72	0
129.84	0
129.96	0
130.08	23809.5236025632
130.2	0
130.32	0
130.44	0
130.56	0
130.68	0
130.8	0
130.92	0
131.04	11904.7618012816
131.16	0
131.28	11904.7618012816
131.4	0
131.52	0
131.64	0
131.76	0
131.88	47619.0472051265
132	809523.80248715
132.12	1678571.41398071
132.24	916666.658698685
132.36	226190.474224351
132.48	47619.0472051265
132.6	47619.0472051265
132.72	35714.2854038449
132.84	23809.5236025632
132.96	11904.7618012816
133.08	0
133.2	11904.7618012816
133.32	0
133.44	0
133.56	0
133.68	11904.7618012816
133.8	11904.7618012816
133.92	107142.856211535
134.04	619047.613666644
134.16	1071428.56211535
134.28	297619.045032041
134.4	59523.8090064081
134.52	59523.8090064081
134.64	11904.7618012816
134.76	47619.0472051265
134.88	11904.7618012816
135	0
135.12	0
135.24	0
135.36	0
135.48	0
135.6	0
135.72	0
135.84	0
135.96	23809.5236025632
136.08	142857.141615379
136.2	35714.2854038449
136.32	0
136.44	0
136.56	0
136.68	0
136.8	0
136.92	0
137.04	0
137.16	0
137.28	0
137.4	0
137.52	0
137.64	0
137.76	0
137.88	0
138	11904.7618012816
138.12	0
138.24	0
138.36	0
138.48	0
138.6	0
138.72	0
138.84	0
138.96	0
139.08	0
139.2	0
139.32	0
139.44	0
139.56	0
139.68	0
139.8	0
139.92	0
140.04	0
140.16	0
140.28	0
140.4	0
140.52	0
140.64	0
140.76	0
140.88	11904.7618012816
141	0
141.12	0
141.24	0
141.36	0
141.48	0
141.6	0
141.72	0
141.84	0
141.96	0
142.08	0
142.2	0
142.32	0
142.44	0
142.56	0
142.68	0
142.8	0
142.92	0
143.04	0
143.16	0
143.28	0
143.4	0
143.52	0
143.64	0
143.76	0
143.88	0
144	0
144.12	0
144.24	0
144.36	0
144.48	0
144.6	0
144.72	0
144.84	0
144.96	0
145.08	0
145.2	0
145.32	0
145.44	0
145.56	0
145.68	11904.7618012816
145.8	0
145.92	11904.7618012816
146.04	35714.2854038449
146.16	107142.856211535
146.28	47619.0472051265
146.4	0
146.52	0
146.64	11904.7618012816
146.76	0
146.88	0
147	0
147.12	0
147.24	0
147.36	0
147.48	0
147.6	0
147.72	0
147.84	0
147.96	0
148.08	0
148.2	0
148.32	11904.7618012816
148.44	0
148.56	0
148.68	0
148.8	0
148.92	0
149.04	0
149.16	0
149.28	0
149.4	0
149.52	0
149.64	0
149.76	0
149.88	0
150	0
150.12	0
150.24	0
150.36	0
150.48	0
150.6	0
150.72	0
150.84	0
150.96	0
151.08	0
151.2	0
151.32	0
151.44	0
151.56	0
151.68	0
151.8	0
151.92	0
152.04	0
152.16	0
152.28	0
152.4	0
152.52	0
152.64	0
152.76	0
152.88	0
153	0
153.12	0
153.24	0
153.36	0
153.48	0
153.6	0
153.72	0
153.84	0
153.96	0
154.08	0
154.2	0
154.32	0
154.44	0
154.56	0
154.68	0
154.8	0
154.92	0
155.04	0
155.16	0
155.28	0
155.4	0
155.52	0
155.64	0
155.76	0
155.88	0
156	0
156.12	0
156.24	0
156.36	0
156.48	0
156.6	0
156.72	0
156.84	0
156.96	0
157.08	0
157.2	0
157.32	0
157.44	0
157.56	0
157.68	11904.7618012816
157.8	0
157.92	0
158.04	0
158.16	35714.2854038449
158.28	0
158.4	11904.7618012816
158.52	0
158.64	0
158.76	0
158.88	0
159	0
159.12	0
159.24	0
159.36	0
159.48	0
159.6	0
159.72	0
159.84	0
159.96	0
160.08	23809.5236025632
160.2	35714.2854038449
160.32	11904.7618012816
160.44	0
160.56	0
160.68	11904.7618012816
160.8	0
160.92	0
161.04	11904.7618012816
161.16	0
