Mass/Charge	Intensity
50	0
50.12	0
50.24	0
50.36	0
50.48	0
50.6	0
50.72	0
50.84	0
50.96	0
51.08	0
51.2	0
51.32	0
51.44	0
51.56	0
51.68	0
51.8	0
51.92	0
52.04	0
52.16	0
52.28	0
52.3999999999999	0
52.5199999999999	0
52.6399999999999	0
52.7599999999999	0
52.8799999999999	0
53.04	23809.5236025632
53.16	0
53.28	0
53.4	0
53.52	0
53.64	0
53.76	0
53.88	0
54	0
54.12	0
54.24	0
54.36	0
54.48	0
54.6	0
54.72	0
54.84	0
54.96	0
55.08	23809.5236025632
55.2	0
55.32	0
55.44	0
55.56	0
55.68	0
55.8	0
55.92	0
56.04	11904.7618012816
56.16	0
56.28	0
56.4	0
56.52	0
56.64	0
56.76	0
56.88	0
57	0
57.12	0
57.24	0
57.36	23809.5236025632
57.48	0
57.6	0
57.72	0
57.84	0
57.96	0
58.08	0
58.2	0
58.32	0
58.44	0
58.56	0
58.68	0
58.8	0
58.92	0
59.04	0
59.16	0
59.28	0
59.4	0
59.52	0
59.64	0
59.7599999999999	0
59.8799999999999	0
59.9999999999999	0
60.1199999999999	0
60.2399999999999	0
60.3599999999999	0
60.4799999999999	0
60.5999999999999	0
60.7199999999999	0
60.8399999999999	0
60.9599999999999	0
61.0799999999999	0
61.1999999999999	0
61.3199999999999	0
61.4399999999999	0
61.5599999999999	0
61.6799999999999	0
61.7999999999999	0
61.9199999999999	0
62.0399999999999	0
62.1599999999999	0
62.2799999999999	0
62.3999999999999	0
62.5199999999999	0
62.6399999999999	0
62.7599999999999	0
62.8799999999999	0
62.9999999999999	0
63.1199999999999	0
63.2399999999999	0
63.3599999999999	0
63.4799999999999	0
63.5999999999999	0
63.7199999999999	0
63.8399999999999	0
63.9599999999999	0
64.0799999999999	0
64.1999999999999	0
64.32	11904.7618012816
64.44	0
64.56	0
64.68	0
64.8	0
64.92	0
65.04	0
65.16	0
65.28	0
65.4	0
65.52	0
65.64	0
65.76	0
65.8800000000001	0
66.0000000000001	0
66.1200000000001	0
66.2400000000001	0
66.3600000000001	0
66.4800000000001	0
66.6000000000001	0
66.7200000000001	0
66.8400000000001	0
66.96	11904.7618012816
67.08	11904.7618012816
67.2	11904.7618012816
67.32	0
67.44	0
67.56	0
67.68	0
67.8	0
67.92	11904.7618012816
68.04	0
68.16	11904.7618012816
68.28	0
68.4	11904.7618012816
68.52	0
68.64	0
68.76	0
68.88	0
69	59523.8090064081
69.12	71428.5708076897
69.24	11904.7618012816
69.36	0
69.48	0
69.6	11904.7618012816
69.72	0
69.84	0
69.96	23809.5236025632
70.08	0
70.2	0
70.32	0
70.44	0
70.56	0
70.68	0
70.8	0
70.92	0
71.04	0
71.16	0
71.28	0
71.4	0
71.5200000000001	0
